Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-10,16:55:57.600,-45,-40,100,12,1,7,10,-41,100,13,0.4,38.424449 14.076842,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-5,-14,-222,73,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1392,1535,1494,1498,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:57.800,-42,-47,98,12,0,7,10,-38,100,14,0.4,38.424494 14.076856,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-7,-3,-211,77,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1397,1537,1499,1497,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:58.000,-42,-47,98,12,0,7,10,-38,100,14,0.4,38.424471 14.076822,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-1,-18,-205,-22,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1400,1490,1492,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:58.200,-42,-47,98,12,0,7,10,-40,100,13,0.4,38.424438 14.076861,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,1,-6,-205,-60,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1400,1471,1498,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:58.400,-42,-43,98,12,0,7,10,-42,100,14,0.4,38.424479 14.076906,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-2,-6,-225,7,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1390,1503,1498,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:58.600,-42,-43,98,12,0,7,10,-36,100,12,0.4,38.424485 14.076891,0.8,9.51,4,15,47.7,43.4,45,98,0.01,0.02,-1.04,AIR,-4,-18,-225,38,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1390,1518,1492,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:58.800,-43,-43,100,12,1,7,10,-38,100,13,0.4,38.424484 14.076825,0.8,9.51,4,15,47.7,43.4,45,98,0.01,0.02,-1.04,AIR,0,-16,-219,3,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1393,1501,1493,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:59.000,-43,-43,100,12,1,7,10,-38,100,13,0.4,38.424445 14.076847,0.8,9.51,4,15,47.7,43.4,45,98,0.01,0.02,-1.04,AIR,-1,-4,-230,-14,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1388,1494,1499,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:59.200,-43,-43,100,12,1,7,10,-38,100,13,0.4,38.424478 14.076912,0.8,9.51,4,15,47.7,43.4,45,98,0.01,0.02,-1.04,AIR,-2,-23,-223,-5,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1391,1498,1489,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:59.400,-43,-43,97,12,1,7,10,-38,100,12,0.4,38.424403 14.076883,0.8,9.51,4,15,47.7,43.4,45,98,0.01,0.02,-1.04,AIR,-1,-20,-200,2,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1402,1500,1491,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
